태풍번호,태풍명,영문명,진행여부,영향도,발생,소멸,비고
13,탈림,TALIM,종료,없음,2005.08.27 09:00,2005.09.02 12:00,제13호 태풍 [탈림(TALIM)]은 필리핀에서 제출한 이름으로 깎아지른 가장자리를 의미함.
14,나비,NABI,종료,직접영향,2005.08.29 21:00,2005.09.08 15:00,제14호 태풍 [나비(NABI)]은 한국에서 제출한 이름임.
15,카눈,KHANUN,종료,없음,2005.09.07 09:00,2005.09.13 03:00,제15호 태풍 [카눈(KHANUN)]은 태국에서 제출한 이름으로 과일의 한 종류임.
16,비센티,VICENTE,종료,없음,2005.09.16 21:00,2005.09.19 06:00,제16호 태풍 [비센티(VICENTE)]은 미국에서 제출한 이름으로 남자 이름임.
17,사오라,SAOLA,종료,없음,2005.09.21 03:00,2005.09.26 21:00,제17호 태풍 [사오라(SAOLA)]은 베트남에서 제출한 이름으로 동물의 한 종류임.
18,담레이,DAMREY,종료,없음,2005.09.21 09:00,2005.09.28 03:00,제18호 태풍 [담레이(DAMREY)]은 캄보디아에서 제출한 이름으로 코끼리를 의미함.
19,룽왕,LONGWANG,종료,없음,2005.09.26 09:00,2005.10.03 21:00,제19호 태풍 [룽왕(LONGWANG)]은 중국에서 제출한 이름으로 용왕을 의미함.
20,기러기,KIROGI,종료,없음,2005.10.10 15:00,2005.10.19 15:00,제20호 태풍 [기러기(KIROGI)]은 북한에서 제출한 이름임.
21,카이탁,KAI-TAK,종료,없음,2005.10.29 09:00,2005.11.02 21:00,제21호 태풍 [카이탁(KAI-TAK)]은 홍콩에서 제출한 이름으로 공항의 이름임.
22,덴빈,TEMBIN,종료,없음,2005.11.10 09:00,2005.11.11 15:00,제22호 태풍 [덴빈(TEMBIN)]은 일본에서 제출한 이름으로 저울을 의미함.
23,볼라벤,BOLAVEN,종료,없음,2005.11.16 15:00,2005.11.20 21:00,제23호 태풍 [볼라벤(BOLAVEN)]은 라오스에서 제출한 이름으로 고원의 이름임.
1,짠쯔,CHANCHU,종료,없음,2006.05.09 21:00,2006.05.19 03:00,제1호 태풍 [짠쯔(CHANCHU)]은 마카오에서 제출한 이름으로 진주를 의미함.
2,즐라왓,JELAWAT,종료,없음,2006.06.27 15:00,2006.06.29 09:00,제2호 태풍 [즐라왓(JELAWAT)]은 말레이시아에서 제출한 이름으로 물고기의 한 종류임.
3,에위니아,EWINIAR,종료,상륙,2006.07.01 03:00,2006.07.10 22:00,제3호 태풍 [에위니아(EWINIAR)]은 미크로네시아에서 제출한 이름으로 폭풍의 신을 의미함.
4,빌리스,BILIS,종료,없음,2006.07.09 15:00,2006.07.15 15:00,제4호 태풍 [빌리스(BILIS)]은 필리핀에서 제출한 이름으로 쾌속을 의미함.
5,개미,KAEMI,종료,없음,2006.07.19 15:00,2006.07.26 15:00,제5호 태풍 [개미(KAEMI)]은 한국에서 제출한 이름임.
6,쁘라삐룬,PRAPIROON,종료,없음,2006.08.01 15:00,2006.08.05 09:00,제6호 태풍 [쁘라삐룬(PRAPIROON)]은 태국에서 제출한 이름으로 비의 신을 의미함.
7,마리아,MARIA,종료,없음,2006.08.05 21:00,2006.08.11 03:00,제7호 태풍 [마리아(MARIA)]은 미국에서 제출한 이름으로 여자 이름임.
8,사오마이,SAOMAI,종료,없음,2006.08.05 21:00,2006.08.11 09:00,제8호 태풍 [사오마이(SAOMAI)]은 베트남에서 제출한 이름으로 금성을 의미함.
9,보파,BOPHA,종료,없음,2006.08.06 21:00,2006.08.10 15:00,제9호 태풍 [보파(BOPHA)]은 캄보디아에서 제출한 이름으로 꽃을 의미함.
10,우쿵,WUKONG,종료,직접영향,2006.08.13 15:00,2006.08.19 15:00,제10호 태풍 [우쿵(WUKONG)]은 중국에서 제출한 이름으로 원숭이의 왕을 의미함.
11,소나무,SONAMU,종료,없음,2006.08.14 09:00,2006.08.16 09:00,제11호 태풍 [소나무(SONAMU)]은 북한에서 제출한 이름임.
12,이오케,IOKE,종료,없음,2006.08.28 15:00,2006.09.07 09:00,제12호 태풍 [이오케(IOKE)]은 허리케인이 이동한 것으로 조이스라는 남자 이름의 하와이 원주민식 표현임.
13,산산,SHANSHAN,종료,직접영향,2006.09.10 21:00,2006.09.19 15:00,제13호 태풍 [산산(SHANSHAN)]은 홍콩에서 제출한 이름으로 소녀의 애칭임.
14,야기,YAGI,종료,없음,2006.09.17 15:00,2006.09.25 15:00,제14호 태풍 [야기(YAGI)]은 일본에서 제출한 이름으로 염소를 의미함.
15,상산,XANGSANE,종료,없음,2006.09.26 09:00,2006.10.02 09:00,제15호 태풍 [상산(XANGSANE)]은 라오스에서 제출한 이름으로 코끼리를 의미함.
16,버빙카,BEBINCA,종료,없음,2006.10.03 09:00,2006.10.06 09:00,제16호 태풍 [버빙카(BEBINCA)]은 마카오에서 제출한 이름으로 우유 푸딩을 의미함.
17,룸비아,RUMBIA,종료,없음,2006.10.03 21:00,2006.10.06 15:00,제17호 태풍 [룸비아(RUMBIA)]은 말레이시아에서 제출한 이름으로 야자나무의 한 종류임.
18,솔릭,SOULIK,종료,없음,2006.10.10 03:00,2006.10.16 21:00,제18호 태풍 [솔릭(SOULIK)]은 미크로네시아에서 제출한 이름으로 족장을 칭함.
19,시마론,CIMARON,종료,없음,2006.10.27 15:00,2006.11.06 09:00,제19호 태풍 [시마론(CIMARON)]은 필리핀에서 제출한 이름으로 야생 황소를 의미함.
20,제비,CHEBI,종료,없음,2006.11.09 21:00,2006.11.14 15:00,제20호 태풍 [제비(CHEBI)]은 한국에서 제출한 이름임.
21,두리안,DURIAN,종료,없음,2006.11.26 15:00,2006.12.05 21:00,제21호 태풍 [두리안(DURIAN)]은 태국에서 제출한 이름으로 과일의 한 종류임.
22,우토르,UTOR,종료,없음,2006.12.08 03:00,2006.12.14 15:00,제22호 태풍 [우토르(UTOR)]은 미국에서 제출한 이름으로 스콜선을 의미함.
23,짜미,TRAMI,종료,없음,2006.12.17 21:00,2006.12.19 09:00,제23호 태풍 [짜미(TRAMI)]은 베트남에서 제출한 이름으로 나무의 한 종류임.
1,콩레이,KONG-REY,종료,없음,2007.04.01 09:00,2007.04.06 09:00,제1호 태풍 [콩레이(KONG-REY)]은 캄보디아에서 제출한 이름으로 산의 이름임
2,위투,YUTU,종료,없음,2007.05.17 15:00,2007.05.23 09:00,제2호 태풍 [위투(YUTU)]은 중국에서 제출한 이름으로 옥토끼를 의미함.
3,도라지,TORAJI,종료,없음,2007.07.05 09:00,2007.07.06 03:00,제3호 태풍 [도라지(TORAJI)]은 북한에서 제출한 이름임.
4,마니,MAN-YI,종료,직접영향,2007.07.09 03:00,2007.07.17 09:00,제4호 태풍 [마니(MAN-YI)]은 홍콩에서 제출한 이름으로 해협의 이름임.
5,우사기,USAGI,종료,직접영향,2007.07.29 15:00,2007.08.04 09:00,제5호 태풍 [우사기(USAGI)]은 일본에서 제출한 이름으로 토끼를 의미함.
6,파북,PABUK,종료,없음,2007.08.05 15:00,2007.08.09 21:00,제6호 태풍 [파북(PABUK)]은 라오스에서 제출한 이름으로 민물고기의 한 종류임.
7,우딥,WUTIP,종료,없음,2007.08.08 09:00,2007.08.09 12:00,제7호 태풍 [우딥(WUTIP)]은 마카오에서 제출한 이름으로 나비의 한 종류임.
8,스팟,SEPAT,종료,없음,2007.08.13 03:00,2007.08.20 09:00,제8호 태풍 [스팟(SEPAT)]은 말레이시아에서 제출한 이름으로 물고기의 한 종류임.
9,피토,FITOW,종료,없음,2007.08.29 15:00,2007.09.08 09:00,제9호 태풍 [피토(FITOW)]은 미크로네시아에서 제출한 이름으로 꽃의 한 종류임.
10,다나스,DANAS,종료,없음,2007.09.07 21:00,2007.09.12 03:00,제10호 태풍 [다나스(DANAS)]은 필리핀에서 제출한 이름으로 경험을 의미함.
11,나리,NARI,종료,상륙,2007.09.13 15:00,2007.09.17 00:00,제11호 태풍 [나리(NARI)]은 한국에서 제출한 이름임.
12,위파,WIPHA,종료,없음,2007.09.16 09:00,2007.09.20 12:00,제12호 태풍 [위파(WIPHA)]은 태국에서 제출한 이름으로 숙녀이름임.
13,프란시스코,FRANCISCO,종료,없음,2007.09.23 21:00,2007.09.25 15:00,제13호 태풍 [프란시스코(FRANCISCO)]은 미국에서 제출한 이름으로 남자 이름임.
14,레끼마,LEKIMA,종료,없음,2007.09.30 09:00,2007.10.04 15:00,제14호  태풍 [레끼마(LEKIMA)]은 베트남에서 제출한 이름으로 나무의 한 종류임.
15,크로사,KROSA,종료,없음,2007.10.02 09:00,2007.10.08 21:00,제15호 태풍 [크로사(KROSA)]은 캄보디아에서 제출한 이름으로 학을 의미함.
16,하이옌,HAIYAN,종료,없음,2007.10.06 09:00,2007.10.07 09:00,제16호 태풍 [하이옌(HAIYAN)]은 중국에서 제출한 이름으로 바다제비를 의미함.
17,버들,PODUL,종료,없음,2007.10.06 15:00,2007.10.07 15:00,제17호 태풍 [버들(PODUL)]은 북한에서 제출한 이름임.
18,링링,LINGLING,종료,없음,2007.10.12 15:00,2007.10.15 15:00,제18호 태풍 [링링(LINGLING)]은 홍콩에서 제출한 이름으로 소녀의 애칭임.
