구분/지역명 ◁ ▷,,,,총계,,2002년,,2003년,,2004년,,2005년,,2006년,,2007년,,2008년,,2010년,,2011년,,2012년,,2013년,,2014년,,2015년,,2016년,,2017년,,2018년,,2019년,,2020년,,2021년,
,,피해액,천원,"123,509,858",,"20,132,996",,"83,547,218",,"500,000",,"16,502,245",,"130,000",,"243,649",,0,,"1,710,940",,"742,810",,"42,192,523",,0,,"30,000",,"194,306",,"26,192,604",,0,,"4,245,461",,"243,157",,"31,952,397",,0,
,어항,어항시설,개소,"1,121",,281,,355,,39,,94,,31,,64,,0,,51,,206,,651,,10,,1,,33,,160,,0,,151,,45,,124,,0,
,,피해액,천원,"244,058,038",,"44,397,202",,"122,034,842",,"3,029,865",,"21,822,400",,"9,199,732",,"4,148,012",,0,,"7,018,206",,"32,407,779",,"82,629,761",,"1,382,319",,"54,061",,"3,143,792",,"17,834,674",,0,,"11,555,659",,"4,707,574",,"31,356,042",,0,
,학교,학교시설,개소,"1,483",,353,,798,,24,,26,,1,,82,,1,,193,,5,,10,,0,,0,,0,,4,,0,,2,,22,,0,,0,
,,피해액,천원,"34,098,874",,"15,326,578",,"12,618,978",,"1,108,225",,"782,246",,"114,368",,"1,208,088",,"15,000",,"2,492,973",,"432,418",,"218,840",,0,,0,,0,,"343,505",,0,,"149,737",,"65,817",,0,,0,
,철도,철도,개소/m,228,"159,315",70,"68,832",113,"85,864",32,"3,012",7,265,0,0,4,572,0,0,0,0,2,770,3,312,0,0,0,0,0,0,8,60,0,0,1,1,2,20,6,543,0,0
,,피해액,천원,"152,385,103",,"93,579,703",,"55,878,775",,"1,476,432",,"142,609",,0,,"475,172",,0,,0,,"832,412",,"405,931",,0,,0,,0,,"1,016,173",,0,,"68,000",,"71,392",,"984,804",,0,
,수리,수리시설,개소,"9,681",,"4,624",,"3,259",,"1,137",,135,,0,,169,,0,,21,,336,,709,,0,,8,,0,,238,,0,,81,,117,,194,,24,
,,방조제,개소/m,"53,661",0,121,0,"6,975",0,0,0,"46,556",0,0,0,0,0,0,0,3,0,6,0,45,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,0,0,0,0
,,피해액,천원,"782,945,359",,"411,756,784",,"295,612,775",,"47,679,812",,"5,507,239",,0,,"7,352,673",,0,,"1,028,007",,"14,008,069",,"44,499,694",,0,,"148,457",,0,,"4,594,426",,0,,"3,119,889",,"5,847,511",,"4,397,126",,"1,649,957",
,사방,사방,개소/ha,"2,764","5,899.76","1,118","4,109.72",957,"1,327.13",325,186.97,102,42.61,2,0.93,46,43.89,0,0,1,0.3,213,188.21,380,502.6,0,0,1,0.05,0,0,111,54.21,0,0,32,23.27,373,"21,958.71",283,97.06,63,12.17
,,임도,개소/km,"6,451","806,826.22",270,"351,500","5,977","335,621",101,"64,816",23,"10,610",0,0,55,"44,271",0,0,0,0,25,8.22,67,27.65,0,0,0,0,0,0,2,0.33,0,0,12,2.33,89,169.42,164,22.21,13,0.83
,,피해액,천원,"410,537,296",,"173,250,061",,"173,632,555",,"28,026,999",,"5,534,670",,"87,303",,"9,921,054",,0,,"5,058",,"20,079,596",,"57,465,981",,0,,"5,453",,0,,"8,687,506",,0,,"3,025,213",,"24,569,351",,"24,855,791",,"2,053,738",
,군시설,군사시설,개소,847,,277,,267,,50,,51,,3,,9,,0,,168,,22,,246,,0,,0,,3,,12,,0,,16,,37,,30,,0,
,,피해액,천원,"325,728,071",,"173,893,203",,"131,099,972",,"1,656,893",,"1,421,751",,"39,729",,"564,517",,0,,"15,422,354",,"1,629,652",,"8,034,264",,0,,0,,"361,395",,"951,107",,0,,"875,734",,"2,438,661",,"1,958,404",,0,
,소규모,시설물,개소,"17,201",,"7,283",,"5,821",,"2,115",,393,,3,,943,,8,,37,,598,,"1,905",,0,,64,,17,,499,,0,,339,,982,,695,,194,
,,피해액,천원,"849,459,893",,"441,953,498",,"322,524,003",,"49,985,082",,"9,303,108",,"61,624",,"12,461,387",,"69,200",,"575,262",,"12,526,729",,"55,248,847",,0,,"711,651",,"439,784",,"10,554,768",,0,,"4,542,055",,"22,294,572",,"11,790,982",,"1,820,662",
,해양,쓰레기,개소/m,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,"500,659",0,0,0,"200,000",0,,,,,,,,,,,
,,피해액,천원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,기타,기타,개소,"37,260",,"6,699",,"6,392",,489,,352,,11,,"11,607",,1,,"10,161",,"1,548",,"30,943",,6,,96,,"28,832",,"40,817",,0,,"1,869",,"36,204",,"12,136",,665,
,,피해액,천원,"1,108,738,992",,"533,502,015",,"476,330,955",,"24,368,484",,"10,534,602",,"553,474",,"22,186,855",,"120,000",,"25,083,359",,"16,059,248",,"119,811,369",,"194,392",,"261,353",,"4,277,695",,"35,654,506",,0,,"7,139,968",,"16,445,018",,"31,517,251",,"671,725",
,피해액소계,,천원,"7,974,956,543",,"4,223,200,465",,"2,950,216,321",,"307,228,566",,"120,436,659",,"10,397,549",,"115,168,493",,"398,320",,"57,345,396",,"190,564,774",,"605,557,490",,"1,596,227",,"3,834,059",,"11,049,996",,"185,914,198",,0,,"49,617,993",,"155,040,777",,"198,273,494",,"17,673,353",
사육시설,축대·담장,,개소/천원,"63,560","2,005,362",17,"116,844","63,503","1,764,675",26,"94,843",14,"29,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"82,001",0,0,0,0,0
,가축,,마리/천원,"6,540,662","3,630,121","2,884,694","130,293","849,394","3,468,938","916,514","18,182","726,121","12,708",40,0,"99,402",0,"8,000",0,"480,961",0,"575,536",0,"1,376,085",0,0,0,"3,100",0,0,0,"43,552",0,0,0,"47,179",0,"48,171",0,"8,129",0,"1,305",0
,"축사,잠사",,개소/천원,"291,119","70,364,565","288,633","24,756,995","1,768","37,071,289",20,"212,157",22,"154,315",1,"6,162",151,"1,956,019",0,0,381,"5,008,878",143,"1,198,750","3,006","26,196,130",0,0,8,"124,373",1,"6,050",203,"1,064,002",0,0,56,"467,870",345,"1,881,302",267,"1,441,875",5,"15,602"
,수산중양식,,개소/천원,"170,531","323,853,433","137,206","39,051,286","30,869","256,558,177",107,"812,910",50,"607,955",35,"596,008",593,"8,694,442",1,"12,523",601,"9,165,352","1,069","8,354,780","4,956","61,286,566",8,"31,837",36,"981,111",26,"1,015,245",632,"8,594,135",0,0,"1,251","8,074,553","1,075","13,088,649",324,"3,941,311",4,"31,352"
,"어망, 어구",,통/천원,"350,240","55,302,379","153,136","12,639,882","44,802","33,309,062",81,"1,183,903",128,"3,781,669",53,"565,127","2,376","98,159",0,0,"103,727","2,619,064","45,937","1,105,513","268,761","1,956,128",0,0,0,0,"19,734","1,232,421",61,"1,043,884",0,0,"9,043","720,673","133,970","1,216,805",402,"61,902",0,0
,비닐하우스,,ha/천원,"238,910.78","333,915,155","1,305.82","53,756,931","236,587.16","190,356,356",161.29,"10,505,867",63.87,"815,842",1.08,"74,167",105.65,"17,568,839",0.83,"67,126",643,"56,406,185",42.08,"4,363,842","1,777.18","163,222,742",0.46,"45,783",0.85,"132,154",0.17,"12,018",44.16,"4,549,604",0,0,10.25,"1,165,756","7,653.18","9,671,272",47.8759,"4,195,297",0.79,"32,816"
,기타,,개소/천원,"41,395","881,778,317","6,020","295,210,309","9,998","537,534,410",258,"6,905,174",166,"6,269,141",61,"56,194","1,877","2,426,472",7,"36,427","12,048","30,330,942","10,960","3,009,248","92,402","101,407,058",8,0,244,"77,083",161,"1,960","4,589","2,743,832",0,0,"3,385","936,483","23,111","12,140,298","20,098","4,149,777",158,"172,189"
,피해액소계,,천원,"1,670,849,332",,"425,662,540",,"1,060,062,907",,"19,733,036",,"11,670,630",,"1,297,658",,"30,743,931",,"116,076",,"103,530,421",,"18,032,133",,"354,068,624",,"77,620",,"1,314,721",,"2,267,694",,"17,995,457",,0,,"11,365,335",,"37,998,326",,"13,790,162",,"251,959",
총피해액,,,천원,"10,463,536,795",,"5,185,728,330",,"4,233,391,426",,"341,561,768",,"138,503,806",,"11,804,182",,"160,869,065",,"857,693",,"172,506,416",,"218,314,109",,"1,003,715,099",,"1,689,784",,"5,291,295",,"13,404,137",,"214,964,930",,0,,"64,199,571",,"212,778,205",,"222,541,386",,"21,086,449",
